thesis_id,school,year,author_name,title,issue_type,detail,date_logged,next_action
MIT-2020-016,Massachusetts Institute of Technology,2020,"Foy, Christopher",Solid-state spin-integrated circuits for quantum sensing and control,relationship_unclear,"Text truncated; advisor Dirk Englund is not named anywhere in the visible text, and family/closing thanks were likely cut off.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-018,Massachusetts Institute of Technology,2020,"Garcha, Preetinder",Low power circuits with integrated magnetics for sensors and energy harvesting systems,relationship_unclear,Text truncated mid-list of Texas Instruments collaborators; family/closing thanks not reached.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-019,Massachusetts Institute of Technology,2020,"Hsu, Chen-Yu",Passive sensing of user behavior and Well-being at home,relationship_unclear,Text ends after thanking the lab admin with no family/friends closing section typical of these acknowledgments; possibly truncated.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-020,Massachusetts Institute of Technology,2020,"Hsu, Wei-Ning",Speech processing with less supervision : learning from weak labels and multiple modalities,relationship_unclear,Text truncated mid-sentence; family/closing thanks likely cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-021,Massachusetts Institute of Technology,2020,"Lee, Hyo-Dong",Topographic deep artificial neural network as a model of primate ventral visual stream,relationship_unclear,Text truncated mid-name; remaining friends list plus family/closing thanks were cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-022,Massachusetts Institute of Technology,2020,"Mahony, Thomas Stephen",A hybrid approach towards on-chip visible lasers,relationship_unclear,Text truncated mid-sentence; family/closing thanks not reached.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-023,Massachusetts Institute of Technology,2020,"LaVigne, Rio","Relationships between functionality, security, and privacy for multiparty computation, hashing, and encryption",relationship_unclear,Text is cut off mid-sentence at the ~4000-char extraction limit; likely truncated before reaching family/closing acknowledgments.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-026,Massachusetts Institute of Technology,2020,"Notaros, Jelena","Integrated optical phased arrays : augmented reality, LiDAR, and beyond",relationship_unclear,Text is cut off mid-list of UC Berkeley Integrated Systems Group collaborators with an apparently incomplete trailing name excluded; truncated before reaching family/closing acknowledgments.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-027,Massachusetts Institute of Technology,2020,"Noraky, James",Algorithms and systems for low power time-of-flight imaging,relationship_unclear,Text is cut off mid-sentence at the ~4000-char extraction limit; likely truncated before reaching family/closing acknowledgments.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-028,Massachusetts Institute of Technology,2020,"O'Rourke, Colm J",Decentralized power systems : reference-frame theory and stability region generation,relationship_unclear,Text is cut off mid-list of office-mates with no closing family/friends thanks visible; likely truncated at the ~4000-char extraction limit.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-033,Massachusetts Institute of Technology,2020,"Raval, Manan",Integrated optical phased arrays for three-dimensional display applications,relationship_unclear,Text is cut off mid-sentence at the ~4000-char extraction limit; likely truncated before reaching family/closing acknowledgments.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-034,Massachusetts Institute of Technology,2020,"Recasens Continente, Adriá",Learning through looking and listening,relationship_unclear,"Text truncated mid-sentence ('Moreover, I would like to...'); family and closing acknowledgments likely cut off.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-035,Massachusetts Institute of Technology,2020,"Tomescu Nicolescu, Ioan Alin",How to keep a secret and share a public key (using polynomial commitments),relationship_unclear,Text truncated mid-sentence ('For his') in the middle of describing collaborator Dimitris Papadopoulos; likely truncated before family/closing thanks.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-036,Massachusetts Institute of Technology,2020,"Wang, Zi",Robot learning with strong priors,relationship_unclear,Text truncated mid-sentence ('deeply influenced by var-') before the list of people who influenced the thesis is completed; likely truncated before family/closing thanks.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-037,Massachusetts Institute of Technology,2020,"Kjølstad, Fredrik Berg",Sparse tensor algebra compilation,relationship_unclear,"Text truncated mid-sentence ('Mom passed away d') right after introducing the mother; likely truncated, missing rest of family acknowledgments.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-039,Massachusetts Institute of Technology,2020,"Lazar, David",Strong and scalable metadata security for voice calls,ocr_failed,"Acknowledgments section is a cryptographic/joke construction (Merkle tree hash of names) that deliberately withholds all real names; only a placeholder example name 'Alice' appears, which is not a genuine named individual, so no verifiable named people could be extracted.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-044,Massachusetts Institute of Technology,2020,"Wu, Jiajun",Learning to see the physical world,relationship_unclear,Text truncated immediately after naming 'Ilker Yildirim' with no further context; likely truncated at ~4000 chars before the relationship description and remaining acknowledgments.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-046,Massachusetts Institute of Technology,2020,"Florence, Peter R",Dense visual learning for robot manipulation,relationship_unclear,"Text is truncated: ends mid-list after 'DARPA FLA with people from both MIT and Draper Laboratory:' with the promised list of names never appearing, and no family/closing thanks section is reached.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-047,Massachusetts Institute of Technology,2020,"Hamza, Bashar",An optofluidic platform for longitudinal circulating tumor cell studies in mouse models of cancer,relationship_unclear,Text is truncated mid-word ('graduate stude...') at the ~4000 char cutoff; likely additional Jacks Lab members and a family/friends closing section were cut off.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-050,Massachusetts Institute of Technology,2020,"Jeffrey, Mark Christopher",A hardware and software architecture for pervasive parallelism,relationship_unclear,"Text ends with a grammatically complete sentence about collaborator Ryan Lee but has no page-footer number (unlike other entries in this batch) and no committee-thanks-family/friends closing, suggesting the acknowledgments were cut off before completion.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-052,Massachusetts Institute of Technology,2020,"He, Yiou",Towards lightweight high-voltage power conversion,relationship_unclear,"Text appears truncated: ends abruptly with 'MIT Bose Grant. Tommy' with no verb or context for who Tommy is, immediately followed by the page number; no family thanks visible.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-053,Massachusetts Institute of Technology,2020,"Lynch, Jayson",A framework for proving the computational intractability of motion planning problems,relationship_unclear,"Text is truncated mid-sentence: ends with 'They have been an' right after discussing Krue, cutting off before the sentence (and possibly further content) completes.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-055,Massachusetts Institute of Technology,2020,"Al Bastami, Anas Ibrahim",Efficient radio frequency power generation and impedance matching,relationship_unclear,"Text is truncated mid-sentence: ends with 'fortunate to have met all my friends and colleagues in' before naming the group/lab and before any further thanks (e.g., family) are reached.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-058,Massachusetts Institute of Technology,2020,"Blalock, Davis W",Building efficient algorithms by learning to compress,relationship_unclear,"Text is truncated mid-sentence at the family acknowledgment ('...my family, who may have had some tangential'); full family names not visible.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-060,Massachusetts Institute of Technology,2020,"Cao, Yuan",Study Of electronic correlation and superconductivity in twisted graphene superlattices,relationship_unclear,Text is truncated mid-sentence at the end ('...benefited me at somewhere that I am not'); possible additional names/family thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-065,Massachusetts Institute of Technology,2020,"Gilpin, Leilani Hendrina",Anomaly detection through explanations,relationship_unclear,"Text is truncated mid-word ('Cecilia Testart was my office mate, coau-'); likely cuts off before further named collaborators/family.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-067,Massachusetts Institute of Technology,2020,"Kaler, Tim",Programming technologies for engineering quality multicore software,relationship_unclear,"Text is truncated mid-sentence at end; acknowledgments likely continue beyond the ~4000 char extract, so family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-068,Massachusetts Institute of Technology,2020,"Jaddivada, Rupamathi",A unified modeling for control of reactive power dynamics in electrical energy systems,relationship_unclear,"Text is truncated mid-sentence at end ('Broadly, I would like to thank everyone'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-069,Massachusetts Institute of Technology,2020,"Gopalkrishnan, Rahul",Advances in deep generative modeling for clinical data,relationship_unclear,Text is truncated mid-sentence at end ('...excellent sounding boards for talking through'); likely more names (including family) follow beyond the extract.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-070,Massachusetts Institute of Technology,2020,"Kawaguchi, Kenji",On optimization and scalability in deep learning,relationship_unclear,"Text is truncated mid-sentence at end ('...motivated me to complete'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-072,Massachusetts Institute of Technology,2020,"Lincoln, Andrea",Applications of fine-grained complexity,relationship_unclear,Text is truncated mid-sentence at end ('...faculty at Stanford who I rotated with: Greg Valiant'); acknowledgments likely continue beyond the extract.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-074,Massachusetts Institute of Technology,2020,"Lu, Yi",Fast transactions in distributed and highly available databases,relationship_unclear,"Text is truncated mid-sentence at end ('He introduced me to the world of database research and'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-075,Massachusetts Institute of Technology,2020,"Lu, Tsung-Ju Jeff",Wide-bandgap integrated photonics for quantum technologies,relationship_unclear,"Text is truncated mid-list at end ('...Eric Lim, Dave Terry, Bob Bicchieri, and the rest of Microsystems Technology'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-076,Massachusetts Institute of Technology,2020,"Lao, Natalie",Reorienting machine learning education towards tinkerers and ML-engaged citizens,relationship_unclear,"Text is truncated mid-sentence at end ('...Thank you for taking'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-077,Massachusetts Institute of Technology,2020,"Manuelli, Lucas",Robot manipulation with learned representations,relationship_unclear,"Text is truncated mid-sentence at end ('The late nights spent in 32-380 hacking on'); acknowledgments likely continue beyond the extract, family/closing thanks not captured.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-079,Massachusetts Institute of Technology,2020,"Mao, Hongzi",Network system optimization with reinforcement learning : methods and applications,relationship_unclear,Text is truncated mid-word ('I am also tremen-') at ~4000 chars; likely more collaborators and family thanks follow that are not visible in the provided text.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-081,Massachusetts Institute of Technology,2020,"McKay, Dylan",Intermediate lower bounds and their relationship with complexity theory,relationship_unclear,"Text is truncated mid-sentence ('Some of you were role models for me, some of'); no advisor, committee, or family are visible, so the section is clearly incomplete.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-082,Massachusetts Institute of Technology,2020,"Mendis, Thirimadura Charith Yasendra",Towards automated construction of compiler optimizations,relationship_unclear,Text is truncated mid-sentence ('and all of its group members for'); further COMMIT group members and likely family thanks are not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-084,Massachusetts Institute of Technology,2020,"Pace, Danielle F",Image segmentation for highly variable anatomy : applications to congenital heart disease,relationship_unclear,Text is truncated mid-sentence ('I have been extremely lucky to have had many wonderful technical and clinical'); additional named collaborators and family thanks are not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-085,Massachusetts Institute of Technology,2020,"Prentice, Samuel J",Sigma shapes : parametric shape estimation for view and interaction planning,relationship_unclear,"Text ends after describing the Learning Locomotion team with no advisor recap, friends, or family thanks typical of a closing acknowledgments section; likely truncated before the remainder of the text.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-086,Massachusetts Institute of Technology,2020,"Salamatian, Salman",Statistical privacy and security,relationship_unclear,Text is truncated mid-sentence ('and to Arman Rezaee for making sure I never broke'); family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-087,Massachusetts Institute of Technology,2020,"Shanbhag, Anil",Interactive data analytics using GPUs,relationship_unclear,Text is truncated mid-sentence ('who mentored my undergraduate thesis and'); family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-088,Massachusetts Institute of Technology,2020,"Shen, Dennis",Causal inference : a Tensor's perspective,relationship_unclear,Text ends after discussing a research collaboration with no family or closing thanks typical of these sections; likely truncated before the remainder of the text.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-089,Massachusetts Institute of Technology,2020,"Shen, Pin-Chun",Ohmic contact to monolayer semiconductors,relationship_unclear,Text is truncated mid-list of group members (cuts off at 'Jiaojian'); full acknowledgments including family/closing thanks not visible. Excluded the incomplete truncated name.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-091,Massachusetts Institute of Technology,2020,"Shen, Shen",Convex optimization and machine learning for scalable verification and control,relationship_unclear,"Text is truncated mid-sentence ('for keeping us'); relationship of Tao Pang, Greg Izatt, and Wei Gao to the author is unclear due to truncation, and any family/closing thanks are not visible.",2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-092,Massachusetts Institute of Technology,2020,"Sotiraki, Aikaterini",New hardness results for total search problems and non-interactive lattice-based protocols,relationship_unclear,Text is truncated mid-sentence ('and I am grateful to him for'); full acknowledgments including family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-093,Massachusetts Institute of Technology,2020,"Wagner, Tal",Efficient metric representations for big data,relationship_unclear,Text is truncated mid-sentence ('for expertly taking care of'); full acknowledgments including family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-097,Massachusetts Institute of Technology,2020,"Yedidia, Adam",Analysis and optimization of occluder-based imaging,relationship_unclear,Text is truncated mid-sentence ('A few of these I would like to thank in'); full acknowledgments including family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-098,Massachusetts Institute of Technology,2020,"Zampetakis, Emmanouil",Statistics in high dimensions without IID samples : truncated statistics and minimax optimization,relationship_unclear,Text is truncated mid-sentence ('Apart from my'); full acknowledgments including family/closing thanks not visible.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-101,Massachusetts Institute of Technology,2020,"Hempel, Marek",Technology and applications of 2D materials in micro- and macroscale electronics,relationship_unclear,Text is truncated mid-sentence after 'Libby Shaw for her support with XPS measurements. Reg' -- appears cut off at ~4000 chars before reaching family/closing acknowledgments; possible additional named people not captured.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
MIT-2020-102,Massachusetts Institute of Technology,2020,"Peng, Cheng",Dynamically programmable surfaces for high-speed optical modulation and detection,relationship_unclear,Text is truncated mid-list after 'college friends in the' -- appears cut off at ~4000 chars before reaching family/closing acknowledgments; possible additional named people (e.g. family) not captured.,2026-08-06,Re-check against full (untruncated) PDF text; current extraction was limited to a ~4000-character excerpt of the acknowledgments page. Needs manual review to confirm no additional named individuals were missed.
